"","adv_auto_lvl","adv_hum_lvl","par","adviser","trust"
"178",1,2,"178","hum",3.83333333333333
"179",1,1,"179","hum",2.66666666666667
"180",2,2,"180","hum",4.66666666666667
"181",2,1,"181","hum",2.5
"182",1,2,"182","hum",4.5
"183",2,1,"183","hum",3.83333333333333
"184",2,2,"184","hum",4
"185",1,2,"185","hum",5
"186",1,2,"186","hum",4.5
"187",2,2,"187","hum",5
"188",2,1,"188","hum",4.83333333333333
"189",1,1,"189","hum",5
"190",2,2,"190","hum",5
"191",1,2,"191","hum",4.5
"192",1,1,"192","hum",1.66666666666667
"193",1,2,"193","hum",4.16666666666667
"194",2,1,"194","hum",1.83333333333333
"195",2,2,"195","hum",4
"196",1,1,"196","hum",3.16666666666667
"197",1,1,"197","hum",5
"198",2,1,"198","hum",4.5
"199",1,2,"199","hum",4
"200",2,2,"200","hum",4.83333333333333
"201",2,1,"1","auto",3
"202",2,2,"2","auto",5
"203",1,1,"3","auto",4
"204",1,1,"4","auto",2
"205",1,2,"5","auto",2.83333333333333
"206",2,1,"6","auto",3.83333333333333
"207",2,2,"7","auto",3
"208",1,2,"8","auto",2.66666666666667
"209",2,2,"9","auto",3
"210",2,1,"10","auto",5
"211",2,1,"11","auto",4.66666666666667
"212",1,1,"12","auto",2.16666666666667
"213",2,2,"13","auto",3.66666666666667
"214",2,1,"14","auto",5
"215",1,1,"15","auto",4.5
"216",1,1,"16","auto",4.5
"217",2,2,"17","auto",3.66666666666667
"218",1,2,"18","auto",4.16666666666667
"219",1,2,"19","auto",3.83333333333333
"220",1,2,"20","auto",3
"221",1,2,"21","auto",3
"222",1,1,"22","auto",3.83333333333333
"223",1,2,"23","auto",1.66666666666667
"224",2,2,"24","auto",4
"225",2,1,"25","auto",5
"226",2,2,"26","auto",3.66666666666667
"227",2,2,"27","auto",3.5
"228",1,1,"28","auto",2.33333333333333
"229",1,2,"29","auto",4
"230",2,2,"30","auto",4
"231",1,1,"31","auto",3.5
"232",2,1,"32","auto",4.5
"233",2,1,"33","auto",3
"234",1,2,"34","auto",3
"235",2,2,"35","auto",2.83333333333333
"236",2,1,"36","auto",3.66666666666667
"237",1,1,"37","auto",1
"238",1,1,"38","auto",5
"239",1,1,"39","auto",4
"240",1,2,"40","auto",3.66666666666667
"241",2,1,"41","auto",2.66666666666667
"242",2,1,"42","auto",4
"243",1,2,"43","auto",4
"244",2,2,"44","auto",4
"245",2,2,"45","auto",4.66666666666667
"246",1,1,"46","auto",3.33333333333333
"247",2,1,"47","auto",3.33333333333333
"248",2,1,"48","auto",5
"249",1,1,"49","auto",2.66666666666667
"250",2,2,"50","auto",3.33333333333333
"251",1,1,"51","auto",2.83333333333333
"252",2,2,"52","auto",5
"253",1,1,"53","auto",2.16666666666667
"254",1,2,"54","auto",3.66666666666667
"255",1,2,"55","auto",2.33333333333333
"256",1,2,"56","auto",4.16666666666667
"257",2,2,"57","auto",5
"258",2,1,"58","auto",3.33333333333333
"259",1,2,"59","auto",3.16666666666667
"260",1,1,"60","auto",4
"261",1,2,"61","auto",3.16666666666667
"262",2,2,"62","auto",4
"263",2,2,"63","auto",3
"264",1,1,"64","auto",3.66666666666667
"265",1,1,"65","auto",2.66666666666667
"266",2,1,"66","auto",4.66666666666667
"267",2,1,"67","auto",5
"268",2,1,"68","auto",4.33333333333333
"269",2,1,"69","auto",3.66666666666667
"270",1,1,"70","auto",5
"271",2,1,"71","auto",5
"272",1,2,"72","auto",2.66666666666667
"273",2,2,"73","auto",3.5
"274",1,1,"74","auto",5
"275",2,2,"75","auto",2.5
"276",2,2,"76","auto",3.33333333333333
"277",1,1,"77","auto",2.83333333333333
"278",2,1,"78","auto",2.5
"279",1,1,"79","auto",3.5
"280",1,2,"80","auto",2.5
"281",2,2,"81","auto",2.33333333333333
"282",1,2,"82","auto",3
"283",2,1,"83","auto",2.83333333333333
"284",1,2,"84","auto",4.16666666666667
"285",1,1,"85","auto",3.16666666666667
"286",2,1,"86","auto",5
"287",2,1,"87","auto",4
"288",1,2,"88","auto",2
"289",2,2,"89","auto",5
"290",1,2,"90","auto",4.16666666666667
"291",2,2,"91","auto",5
"292",1,1,"92","auto",3.66666666666667
"293",1,2,"93","auto",4.16666666666667
"294",2,2,"94","auto",2
"295",2,1,"95","auto",3.5
"296",1,2,"96","auto",1.66666666666667
"297",2,1,"97","auto",4
"298",2,2,"98","auto",2.33333333333333
"299",1,1,"99","auto",2.83333333333333
"300",2,2,"100","auto",5
"301",2,2,"101","auto",4
"302",2,1,"102","auto",5
"303",1,1,"103","auto",3.66666666666667
"304",1,1,"104","auto",1.33333333333333
"305",1,2,"105","auto",2
"306",2,2,"106","auto",3
"307",1,1,"107","auto",4
"308",1,2,"108","auto",4
"309",2,2,"109","auto",5
"310",2,2,"110","auto",4.33333333333333
"311",1,2,"111","auto",3.66666666666667
"312",1,2,"112","auto",1
"313",2,1,"113","auto",5
"314",2,1,"114","auto",3.16666666666667
"315",1,1,"115","auto",3
"316",2,2,"116","auto",4
"317",2,2,"117","auto",5
"318",1,2,"118","auto",2.16666666666667
"319",1,1,"119","auto",2
"320",1,2,"120","auto",3
"321",2,1,"121","auto",5
"322",2,2,"122","auto",4.66666666666667
"323",2,2,"123","auto",3.66666666666667
"324",1,1,"124","auto",4
"325",1,2,"125","auto",2.83333333333333
"326",2,1,"126","auto",4
"327",1,2,"127","auto",1
"328",2,2,"128","auto",2.83333333333333
"329",2,2,"129","auto",4.66666666666667
"330",2,1,"130","auto",4.33333333333333
